source,url,company,title,role_cluster,location_remote_start,industry,main_tasks,work_pattern,tools_systems,must_skills,nice_to_have,already_have,gap_blocking,gap_learnable,gap_bonus,experience_required,entry_realistic,growth_value,interest,decision,priority,application_deadline,next_action,notes,tags,date_posted
snapshot-linkedin,https://www.linkedin.com/jobs/view/it-operations-support-specialist-emea-remote-at-intel-471-4194233421,Intel 471,"IT Operations Support Specialist (EMEA, Remote)",Application Support / IT Operations,EMEA / Remote,Cybersecurity / IT,"IT-Prozesse dokumentieren, Support, SOPs und Knowledge Base pflegen",Support + Dokumentation,"ITSM, SOP, Knowledge Base, Automation/Scripting","IT Support, Dokumentation, Englisch","Scripting, Incident Management","Linux/Terminal Basics, Doku, Prozessstruktur",IT-Operations-Tiefe kann fehlen,ITSM/SOP-Standards lernbar,Cybersecurity-Kontext,Erfahrung wahrscheinlich gewuenscht,Vielleicht,Hoch,Mittel,beobachten,mittel,,,Recherche-Snapshot 2026-06-21; KI-gestuetzt aus oeffentlicher Websuche und sichtbaren Trefferseiten strukturiert; keine automatisierte Plattformabfrage; Links koennen veralten.,linkedin;direct;application-support;knowledge-base;remote;research-snapshot;2026-06-21;it-systemadministration,
snapshot-linkedin,https://www.linkedin.com/jobs/view/ms-teams-support-german-at-pracyva-4348556459,PRACYVA,MS Teams Support (German),Application Support / Knowledge Base,European Union / Remote,IT Support,"MS-Teams-Support, Troubleshooting, Doku und Knowledge-Base-Artikel erstellen",Support + Dokumentation,"MS Teams, Tickets, Knowledge Base","Deutsch, Support, technische Dokumentation","Microsoft 365, Troubleshooting","Dokumentation, Nutzeranleitungen, Struktur",Support-Erfahrung kann fehlen,MS Teams Admin/Support lernbar,M365-Tiefe,Erfahrung gewuenscht,Vielleicht,Mittel,Mittel,beobachten,mittel,,,Recherche-Snapshot 2026-06-21; KI-gestuetzt aus oeffentlicher Websuche und sichtbaren Trefferseiten strukturiert; keine automatisierte Plattformabfrage; Links koennen veralten.,linkedin;direct;application-support;german;knowledge-base;research-snapshot;2026-06-21;it-systemadministration,
snapshot-stepstone,https://www.stepstone.de/jobs/it-support/in-ahrensburg,Unklar / StepStone Treffer,IT Support mit Knowledge-Base-Aufbau,Application Support / Knowledge Base,Hamburg/Ahrensburg / vor Ort oder hybrid,IT Support,"Support-Prozesse definieren, SOPs und Knowledge Base Inhalte erstellen",Support + Prozessdoku,"ITSM, KB, Tickets","IT Support, Prozessdoku, Kommunikation","SLA, Asset Management","Doku, Struktur, Linux/Terminal Basics",5+ Jahre/Lead koennen blockieren,ITSM-Grundlagen lernbar,Fuehrung/IT-Tiefe,5+ Jahre im Snippet,Später,Mittel,Niedrig,beobachten,niedrig,,,Recherche-Snapshot 2026-06-21; KI-gestuetzt aus oeffentlicher Websuche und sichtbaren Trefferseiten strukturiert; keine automatisierte Plattformabfrage; Links koennen veralten.,stepstone;search-page;knowledge-base;senior-risk;research-snapshot;2026-06-21;it-systemadministration,
snapshot-indeed,https://de.indeed.com/q-product-support-specialist-l-berlin-jobs.html?start=15,Unklar / Indeed Treffer,Product Support Specialist,Product / Application Support,Berlin / ggf. hybrid,Software / Support,"Kundensupport, Produktfragen, Knowledge Base nutzen",Support + Produktwissen,"CRM, Tickets, Knowledge Base","Support, Kommunikation, Produktverstaendnis",SaaS/Produktwissen,"Doku, Struktur, Nutzerverstaendnis",Support-Erfahrung kann fehlen,CRM/Tickettools lernbar,Produkt-Domaene,Erfahrung unklar,Vielleicht,Mittel,Mittel,beobachten,mittel,,,Recherche-Snapshot 2026-06-21; KI-gestuetzt aus oeffentlicher Websuche und sichtbaren Trefferseiten strukturiert; keine automatisierte Plattformabfrage; Links koennen veralten.,indeed;search-page;product-support;knowledge-base;research-snapshot;2026-06-21;it-systemadministration,
snapshot-indeed,https://de.indeed.com/q-api-documentation-jobs.html,Pliant,Solutions Engineer Remote mit API Documentation,Technical Support / API Documentation,Deutschland / Remote,Fintech / API,"Kundenfeedback, API-Plattform und technische Dokumentation verbinden",Solutions + Documentation,"API, Documentation, Fintech","API-Verstaendnis, technische Kommunikation",Solutions Engineering,"HTML/CSS/JS-Basics, Doku",Solutions-Engineer-Erfahrung kann blockieren,API-Grundlagen lernbar,Fintech-Domaene,Erfahrung gewuenscht,Später,Hoch,Mittel,beobachten,mittel,,,Recherche-Snapshot 2026-06-21; KI-gestuetzt aus oeffentlicher Websuche und sichtbaren Trefferseiten strukturiert; keine automatisierte Plattformabfrage; Links koennen veralten.,indeed;search-page;api-documentation;remote;research-snapshot;2026-06-21;it-systemadministration,
snapshot-xing,https://www.xing.com/jobs/hamburg-support-specialist-software-iot-153640838,Reos GmbH,Application Support & QA Specialist (m/w/d),Application Support / QA,Hamburg,Software / IoT / Real Estate,"Software-Support, QA, Knowledge Base und Fehleranalyse",Support + QA,"Tickets, Software, Knowledge Base","Application Support, QA, Kommunikation",IoT/Software-Kontext,"Supportnahes Denken, Dokumentation",Support-/QA-Praxis fehlt,Ticket-/QA-Tools lernbar,IoT-Domaene,Erfahrung unklar,Ja / Vielleicht,Hoch,Hoch,genauer ansehen,hoch,,,Recherche-Snapshot 2026-06-21; KI-gestuetzt aus oeffentlicher Websuche und sichtbaren Trefferseiten strukturiert; keine automatisierte Plattformabfrage; Links koennen veralten.,xing;direct;application-support;qa;hamburg;research-snapshot;2026-06-21;it-systemadministration,
snapshot-xing,https://www.xing.com/jobs/hamburg-support-specialist-software-iot-153640838,ADVERGY GmbH,IT Application Support Specialist (m/w/d) I Hamburg,Application Support,Hamburg,IT / Software Support,"Anwendungssupport, Fehleranalyse, Anwenderkommunikation",Application Support,"Ticketsysteme, Applikationen","IT Support, Troubleshooting, Kommunikation",SQL/Applikationswissen moeglich,"Doku, Struktur, IT-Grundlagen",Gehalts-/Erfahrungsniveau evtl. hoch,Tickettools/SQL lernbar,IT-Applikationen,Erfahrung gewuenscht,Vielleicht,Mittel,Mittel,beobachten,mittel,,,Recherche-Snapshot 2026-06-21; KI-gestuetzt aus oeffentlicher Websuche und sichtbaren Trefferseiten strukturiert; keine automatisierte Plattformabfrage; Links koennen veralten.,xing;direct-related;application-support;hamburg;research-snapshot;2026-06-21;it-systemadministration,5 days ago
snapshot-xing,https://www.xing.com/jobs/hamburg-support-specialist-software-iot-153640838,LECARE,Technical Customer Support Expert (m/w/d),Technical Customer Support,Hamburg,Legal Tech / Software,"Technischen Kundensupport leisten, Produktwissen anwenden",Support + Produktwissen,"Tickets, CRM, Knowledge Base","Support, Kommunikation, Produktverstaendnis",Legal-Tech-Kontext,"Schreiben, Struktur, Nutzerfokus",Support-Expert-Level pruefen,Produktwissen lernbar,Legal-Tech,Expert im Titel,Vielleicht,Mittel,Mittel,beobachten,mittel,,,Recherche-Snapshot 2026-06-21; KI-gestuetzt aus oeffentlicher Websuche und sichtbaren Trefferseiten strukturiert; keine automatisierte Plattformabfrage; Links koennen veralten.,xing;direct-related;technical-support;hamburg;research-snapshot;2026-06-21;it-systemadministration,6 days ago
snapshot-remotive,https://remotive.com/remote-jobs/data,Remotive Aggregated,Junior Data Integration Developer,Junior Data Integration,USA/Canada / Remote,Data / Engineering,"Datenintegration, Datenpipelines und technische Schnittstellen unterstuetzen",Junior Data Engineering,"SQL, APIs, ETL","SQL, Datenintegration, technische Grundlagen",API/ETL,"Python/SQL-Basics, Datenstruktur",USA/Canada-only kann blockieren,ETL/API lernbar,Engineering-Tiefe,Entry-Level,Vielleicht,Hoch,Mittel,beobachten,mittel,,,Recherche-Snapshot 2026-06-21; KI-gestuetzt aus oeffentlicher Websuche und sichtbaren Trefferseiten strukturiert; keine automatisierte Plattformabfrage; Links koennen veralten.,remotive;category-page;junior-data;remote;research-snapshot;2026-06-21;it-systemadministration,New
snapshot-stepstone,https://www.stepstone.de/jobs/it-systemadministrator/in-hamburg,Recherche-Snapshot StepStone,IT-Systemadministrator (m/w/d),IT Systemadministration,Hamburg / Remote unklar,IT Services,"Windows/Linux-Systeme betreuen, Benutzerkonten, Tickets, Dokumentation",Admin + Support + Betrieb,"Windows Server, Linux, Active Directory, Ticketsystem","IT-Administration, Troubleshooting, Netzwerkgrundlagen","PowerShell, M365, Virtualisierung","Linux/Terminal-Grundlagen, Troubleshooting, Dokumentation",Berufserfahrung im Betrieb kann fehlen,AD/M365 Grundlagen auffrischen,Cloud/Virtualisierung,Erfahrung gewuenscht,Vielleicht,Hoch,Mittel,beobachten,mittel,,,Recherche-Snapshot 2026-06-21; KI-gestuetzt aus oeffentlicher Websuche und sichtbaren Trefferseiten strukturiert; keine automatisierte Plattformabfrage; Links koennen veralten.,stepstone;search-page;it-systemadministrator;hamburg;research-snapshot;2026-06-21,
