source,url,company,title,role_cluster,location_remote_start,industry,main_tasks,work_pattern,tools_systems,must_skills,nice_to_have,already_have,gap_blocking,gap_learnable,gap_bonus,experience_required,entry_realistic,growth_value,interest,decision,priority,application_deadline,next_action,notes,tags,date_posted
snapshot-linkedin,https://www.linkedin.com/jobs/view/technical-writer-documentation-specialist-freelance-at-shakers-4354165018,Shakers,Technical Writer / Documentation Specialist - Freelance,Technical Documentation,Remote / Freelance / 6 Monate,Software / Tech,Technische Dokumentation fuer Softwareprodukte erstellen und pflegen,Docs + Produktverstaendnis,"Docs, Softwareprodukte, ggf. Markdown/Confluence","Technical Writing, Software-Dokumentation, Englisch","Freelance-Erfahrung, B2B","Dokumentation, Schreiben, Struktur, Recherche",Freelance/B2B kann organisatorisch unpassend sein,Produkt-/Toolstack schnell einarbeiten,Spezialisierung Softwaredoku,Erfahrung gewuenscht,Vielleicht,Hoch,Hoch,genauer ansehen,hoch,,,Recherche-Snapshot 2026-06-21; KI-gestuetzt aus oeffentlicher Websuche und sichtbaren Trefferseiten strukturiert; keine automatisierte Plattformabfrage; Links koennen veralten.,linkedin;direct;technical-documentation;remote;research-snapshot;2026-06-21;metadata-information-management,
snapshot-linkedin,https://www.linkedin.com/jobs/view/knowledge-management-senior-specialist-at-remote-4289948644,Remote,Knowledge Management Senior Specialist,Knowledge Management / Knowledge Base,Remote / weltweit,HR Tech / SaaS,"Remote Knowledge Base pflegen, Inhalte aktualisieren, Wissen strukturieren",Knowledge base governance + CX Operations,"Knowledge Base, Change Logs, Content Workflows","Knowledge Management, Content Governance, Compliance-Verstaendnis","Mentoring, Projektarbeit","Wissensorganisation, Dokumentation, strukturierte Inhalte",Senior-Level kann blockieren,Remote-spezifische Produkt-/Legal-Inhalte lernbar,CX/Compliance-Tiefe,Senior-Specialist,Später,Hoch,Mittel,beobachten,mittel,,,Recherche-Snapshot 2026-06-21; KI-gestuetzt aus oeffentlicher Websuche und sichtbaren Trefferseiten strukturiert; keine automatisierte Plattformabfrage; Links koennen veralten.,linkedin;direct;knowledge-management;remote;senior-risk;research-snapshot;2026-06-21;metadata-information-management,
snapshot-linkedin,https://www.linkedin.com/jobs/view/data-steward-at-masent%C3%B3-group-4378957560,Masento Group,Data Steward,Data Steward / Data Governance,European Union / remote-nahe,Consulting / Data,Datenqualitaet und Governance fuer Produkt-/Businessdaten sichern,Stewardship + Governance,"Data Governance Tools, WeShare Platform","Data Stewardship, Datenqualitaet, Governance","Consumer Goods, Produktdaten","Metadaten, Datenqualitaet, Ordnungssysteme",Steward-Erfahrung kann fehlen,Governance-Begriffe vertiefen,Branchendomäne,Erfahrung wahrscheinlich gewuenscht,Vielleicht / später,Hoch,Mittel,beobachten,mittel,,,Recherche-Snapshot 2026-06-21; KI-gestuetzt aus oeffentlicher Websuche und sichtbaren Trefferseiten strukturiert; keine automatisierte Plattformabfrage; Links koennen veralten.,linkedin;direct;data-steward;governance;research-snapshot;2026-06-21;metadata-information-management,
snapshot-linkedin,https://www.linkedin.com/jobs/view/technical-content-writer-frontend-remote-work-at-bairesdev-4383914588,BairesDev,Technical Content Writer (Frontend) - Remote Work,Technical Content / Documentation,Remote,Software Development,Technische Frontend-Inhalte schreiben und erklaeren,Content + Developer Documentation,"Frontend, Web, ggf. Markdown","Technical Writing, Frontend-Verstaendnis, Englisch","Developer Relations, SEO","HTML/CSS/JS-Grundlagen, Schreiben, Struktur",Frontend-Tiefe koennte fehlen,Frontend-Begriffe auffrischen,Developer Audience,Erfahrung gewuenscht,Vielleicht,Mittel,Mittel,beobachten,mittel,,,Recherche-Snapshot 2026-06-21; KI-gestuetzt aus oeffentlicher Websuche und sichtbaren Trefferseiten strukturiert; keine automatisierte Plattformabfrage; Links koennen veralten.,linkedin;direct;technical-writing;frontend;remote;research-snapshot;2026-06-21;metadata-information-management,
snapshot-linkedin,https://www.linkedin.com/jobs/view/data-steward-at-sixteenfifty-4373452470,SixteenFifty,Data Steward,Data Steward / Product Data,European Union,Consumer Goods / Product Data,Produktdatenqualitaet sichern und Governance-Prozesse verbessern,Data Stewardship,"WeShare Platform, Data Governance","Data Stewardship, Product Data, Governance",FMCG/Consumer Goods,"Datenqualitaet, Metadaten, Struktur",Direkte Steward-Erfahrung fehlt evtl.,Produktdatenprozesse lernbar,Tool-/Branchenerfahrung,Erfahrung wahrscheinlich gewuenscht,Vielleicht,Hoch,Mittel,beobachten,mittel,,,Recherche-Snapshot 2026-06-21; KI-gestuetzt aus oeffentlicher Websuche und sichtbaren Trefferseiten strukturiert; keine automatisierte Plattformabfrage; Links koennen veralten.,linkedin;direct;data-steward;product-data;research-snapshot;2026-06-21;metadata-information-management,
snapshot-linkedin,https://www.linkedin.com/jobs/view/data-steward-microsoft-dynamics-crm-at-securitas-group-4151263803,Securitas Group,Data Steward (Microsoft Dynamics CRM),Data Steward / CRM Data,European Union,Security / CRM,"CRM-Daten pflegen, Datenqualitaet und Prozesse verbessern",CRM Data Governance,Microsoft Dynamics CRM,"Data Stewardship, CRM, Datenqualitaet",Dynamics-Erfahrung,"Datenqualitaet, strukturierte Pflege",CRM/Dynamics-Erfahrung fehlt,Dynamics-Grundlagen lernbar,CRM-Domain,Erfahrung wahrscheinlich gewuenscht,Vielleicht,Mittel,Mittel,beobachten,mittel,,,Recherche-Snapshot 2026-06-21; KI-gestuetzt aus oeffentlicher Websuche und sichtbaren Trefferseiten strukturiert; keine automatisierte Plattformabfrage; Links koennen veralten.,linkedin;direct;data-steward;crm;research-snapshot;2026-06-21;metadata-information-management,
snapshot-stepstone,https://www.stepstone.de/jobs/documentation-specialist/in-hamburg,Fairwind GmbH,Junior HSEQ Specialist NCE,Documentation / Quality Support,Hamburg / Teilweise Home-Office,Renewables / HSEQ,"Audits unterstuetzen, Dokumentation und Follow-ups festhalten",Qualitaet + Dokumentation,"Office, Audit-Dokumente","Dokumentation, Kommunikation, Englisch",HSEQ-Interesse,"Doku, Struktur, Genauigkeit",HSEQ-Fachwissen fehlt,HSEQ-Grundlagen lernbar,Audit-Erfahrung,Junior / Einstieg,Vielleicht,Mittel,Mittel,beobachten,mittel,,,Recherche-Snapshot 2026-06-21; KI-gestuetzt aus oeffentlicher Websuche und sichtbaren Trefferseiten strukturiert; keine automatisierte Plattformabfrage; Links koennen veralten.,stepstone;search-page;documentation;hamburg;research-snapshot;2026-06-21;metadata-information-management,
snapshot-stepstone,https://www.stepstone.de/jobs/data-governance/in-hamburg,BearingPoint GmbH,(Junior) Consultant Master Data Governance and Management (m/w/d),Data Governance / Consulting,Hamburg + weitere / Teilweise Home-Office,Consulting / Data,Unternehmen bei Master Data Governance und Data Quality beraten,Consulting + Data Governance,"MDG, Data Governance, Analytics","Data Governance, Data Quality, Kommunikation","Consulting, SAP/MDG","Datenqualitaet, Informationsstruktur",Consulting/SAP kann blockieren,Governance/MDG lernbar,SAP-Tiefe,Junior bis Senior gesucht,Vielleicht,Hoch,Mittel,beobachten,mittel,,,Recherche-Snapshot 2026-06-21; KI-gestuetzt aus oeffentlicher Websuche und sichtbaren Trefferseiten strukturiert; keine automatisierte Plattformabfrage; Links koennen veralten.,stepstone;search-page;data-governance;hamburg;research-snapshot;2026-06-21;metadata-information-management,
snapshot-stepstone,https://www.stepstone.de/jobs/technical-writer/in-hamburg,TANNER GmbH,Technischer Redakteur (m/w/d),Technical Documentation,Hamburg / Vollzeit,Technische Kommunikation,"Technische Dokumentation, Produktdaten und technische Kommunikation erstellen",Redaktion + Produktdaten,"Redaktionssysteme, Office, Grafik/Standards","Technische Doku, Deutsch/Englisch, Struktur",Produktdatenmanagement,"Doku, Struktur, Recherche",Technische Redaktionserfahrung kann fehlen,Redaktionssysteme lernbar,Branchentechnik,Erfahrung gewuenscht,Vielleicht,Hoch,Hoch,genauer ansehen,hoch,,,Recherche-Snapshot 2026-06-21; KI-gestuetzt aus oeffentlicher Websuche und sichtbaren Trefferseiten strukturiert; keine automatisierte Plattformabfrage; Links koennen veralten.,stepstone;search-page;technical-writer;hamburg;research-snapshot;2026-06-21;metadata-information-management,
snapshot-stepstone,https://www.stepstone.de/jobs/leiter-technische-dokumentation/in-hamburg,TD & DS Technical Documentation & Data Services GmbH,Technische Dokumentation / Data Services,Technical Documentation / Data Services,Neu Wulmstorf / Hamburg-nahe,Technical Documentation,Dokumentations- und Data-Services-Aufgaben in technischem Umfeld,Doku + Datenservices,"Redaktionssysteme, Office","Technische Doku, Datenpflege, Deutsch",S1000D/Normen,"Doku, Datenstruktur, Recherche",Technische Normen koennen blockieren,Tool-/Normenwissen lernbar,Industrie-Domaene,Erfahrung unklar,Vielleicht,Mittel,Mittel,beobachten,mittel,,,Recherche-Snapshot 2026-06-21; KI-gestuetzt aus oeffentlicher Websuche und sichtbaren Trefferseiten strukturiert; keine automatisierte Plattformabfrage; Links koennen veralten.,stepstone;search-page;technical-documentation;neu-wulmstorf;research-snapshot;2026-06-21;metadata-information-management,
snapshot-stepstone,https://www.stepstone.de/jobs/technical-documentation-specialist,Unklar / StepStone Treffer,Junior Technical Editor (m/w/d) Schwerpunkt Dokumentation,Technical Editing / Documentation,Deutschland / ggf. Hamburg,Documentation / Editing,"Dokumente redigieren, technische Inhalte pruefen und strukturieren",Editing + Doku,"Office, Redaktionssysteme","Redaktion, Dokumentation, Deutsch",Technische Grundlagen,"Schreiben, Struktur, Doku",Direkter Arbeitgeber unklar,Redaktionsprozess lernbar,Toolkenntnisse,Junior im Titel,Ja,Mittel,Mittel,beobachten,mittel,,,Recherche-Snapshot 2026-06-21; KI-gestuetzt aus oeffentlicher Websuche und sichtbaren Trefferseiten strukturiert; keine automatisierte Plattformabfrage; Links koennen veralten.,stepstone;search-page;technical-editor;junior;research-snapshot;2026-06-21;metadata-information-management,
snapshot-stepstone,https://www.stepstone.de/jobs/technical-writer/in-kassel,Techpilot - DynamicMarkets GmbH,Technical Writer remote / deutschlandweit,Technical Writing / Software,Remote / deutschlandweit,Software / Plattform,Technische Inhalte fuer Plattform/Produkt erstellen,Remote Technical Writing,"Docs, Produktwissen","Technical Writing, Deutsch/Englisch",SaaS/Plattform,"Doku, Web-Basics, Struktur",Genauer Direktlink fehlt,Produktwissen lernbar,Software-Domaene,Erfahrung unklar,Vielleicht,Mittel,Hoch,genauer ansehen,hoch,,,Recherche-Snapshot 2026-06-21; KI-gestuetzt aus oeffentlicher Websuche und sichtbaren Trefferseiten strukturiert; keine automatisierte Plattformabfrage; Links koennen veralten.,stepstone;search-page;technical-writer;remote;research-snapshot;2026-06-21;metadata-information-management,
snapshot-stepstone,https://www.stepstone.de/jobs/it-support/in-ahrensburg,Unklar / StepStone Treffer,IT Support mit Knowledge-Base-Aufbau,Application Support / Knowledge Base,Hamburg/Ahrensburg / vor Ort oder hybrid,IT Support,"Support-Prozesse definieren, SOPs und Knowledge Base Inhalte erstellen",Support + Prozessdoku,"ITSM, KB, Tickets","IT Support, Prozessdoku, Kommunikation","SLA, Asset Management","Doku, Struktur, Linux/Terminal Basics",5+ Jahre/Lead koennen blockieren,ITSM-Grundlagen lernbar,Fuehrung/IT-Tiefe,5+ Jahre im Snippet,Später,Mittel,Niedrig,beobachten,niedrig,,,Recherche-Snapshot 2026-06-21; KI-gestuetzt aus oeffentlicher Websuche und sichtbaren Trefferseiten strukturiert; keine automatisierte Plattformabfrage; Links koennen veralten.,stepstone;search-page;knowledge-base;senior-risk;research-snapshot;2026-06-21;metadata-information-management,
snapshot-stepstone,https://www.stepstone.de/jobs/data-assistant/in-hamburg,Skyborn Renewables offshore solutions GmbH,Senior HR Specialist mit HRIS/Data Quality,HR Data / Data Quality,"Bremen, Hamburg / Teilweise Home-Office",Renewables / HR,"HRIS pflegen, Employee Data und Datenqualitaet sichern",HR Data Operations,"HiBob, HRIS","Datenpflege, HRIS, Prozessverstaendnis",HR-Erfahrung,"Datenqualitaet, Ordnung, Dokumentation",Senior/HR-Spezialisierung kann blockieren,HiBob/HRIS lernbar,HR-Domaene,Senior,Später,Mittel,Niedrig,beobachten,niedrig,,,Recherche-Snapshot 2026-06-21; KI-gestuetzt aus oeffentlicher Websuche und sichtbaren Trefferseiten strukturiert; keine automatisierte Plattformabfrage; Links koennen veralten.,stepstone;search-page;hr-data;senior-risk;research-snapshot;2026-06-21;metadata-information-management,
snapshot-stepstone,https://www.stepstone.de/jobs/documentation-engineer/in-hamburg,YOGI TEA GmbH,Quality Assurance Specialist (m/f/x),Quality Assurance / Documentation,Hamburg / Teilweise Home-Office,Food / QA,Rohwarenverkostung und QA-Dokumentation unterstuetzen,QA + Dokumentation,"Office, QA Dokumente","Dokumentation, QA, Genauigkeit",Food QA,"Doku, strukturierte Pruefung",Food/QA Fachwissen fehlt,QA-Grundlagen lernbar,Lebensmittelbranche,Erfahrung unklar,Vielleicht,Mittel,Mittel,beobachten,mittel,,,Recherche-Snapshot 2026-06-21; KI-gestuetzt aus oeffentlicher Websuche und sichtbaren Trefferseiten strukturiert; keine automatisierte Plattformabfrage; Links koennen veralten.,stepstone;search-page;qa-documentation;hamburg;research-snapshot;2026-06-21;metadata-information-management,
